,P_1,P_2,P_3,P_Z,P_I,P_P,Q_1,Q_2,Q_3,Q_Z,Q_I,Q_P
5,90710,97719,109900.5,0.248726971375546,0.275938890044313,0.475334138580143,16302.1522478151,17696.3221282671,13704.0000307104,2.02277226791654,-4.50434513873238,3.48157287081584
10,91319,97550,100716.5,0.244930377910291,0.273606225353047,0.481463396736662,14886.0188581968,18165.8279278612,12856.6073500591,2.02982742738308,-4.53764832595767,3.50782089857458
15,85245.56,93225,92897.5,0.23930842110701,0.269295741530981,0.49139583736201,13751.0986466274,19951.2476764414,14251.7436667331,2.06644167835696,-4.61138437212768,3.54494269377072
20,95767.06,93382.5,104357.87,0.237829208624031,0.267557020178549,0.49461377119742,13703.807782929,18943.1963486391,13831.4498879194,2.1008462256573,-4.73561938050424,3.63477315484693
25,75302,86047.5,90914,0.230681123748275,0.26612997949571,0.503188896756015,14057.4317033207,19268.1853564113,16981.6582115524,2.11683854913177,-4.72829650560012,3.61145795646834
30,74529.6,87194.1,85374,0.227098642130945,0.264739046009507,0.508162311859549,15411.9526057885,16830.0227032288,18118.6906086072,2.1275008788362,-4.76768737585733,3.64018649702112
35,71618.6,83342.1,89597,0.227587539897232,0.260238093270065,0.512174366832703,18616.6448813449,16112.8191638996,19914.8448224898,2.13456642840992,-4.7238452938385,3.58927886542858
40,71160.54,76916,86609,0.224257778410181,0.254896926257181,0.520845295332639,19039.4055287979,17415.9533176427,20877.6158478061,2.16809396429056,-4.8088322816507,3.64073831736013
45,68634.54,76256,83416,0.223652736459421,0.255216496148998,0.521130767391582,17531.7065708349,15366.1464947058,20663.572380044,2.22495112485849,-5.03930430622051,3.81435318136202
50,68105,75461,81428,0.225138843456345,0.25474370026154,0.520117456282116,17107.3593935682,15179.6787454163,22270.3461403487,2.24492667378619,-5.09623745839132,3.85131078460512
55,65424,76415.5,80793.5,0.22876015408062,0.251876421392763,0.519363424526617,16034.8765863611,15563.4290005331,20345.2527387678,2.2611826774791,-5.16575874658919,3.90457606911009
60,63533,72274.5,81393.23,0.226465537691567,0.249909916034988,0.523624546273446,15003.3113987436,14550.425349373,21838.2309693972,2.27548618243776,-5.21744590095003,3.94195971851226
65,62067,69421.5,76437.5,0.227206501856681,0.253808440334139,0.518985057809181,13502.3446372353,12975.9917437063,19931.8179750627,2.30412584838683,-5.34545151653518,4.04132566814834
70,63026,70781.5,72981.5,0.232500021485694,0.253645973726756,0.513854004787551,12401.0673309176,13500.6575180917,18380.5352878904,2.31839384948509,-5.42027375728043,4.10187990779532
75,54011,68077.5,70351.5,0.228669684331653,0.25283907892094,0.518491236747407,12164.982762119,13334.9765853854,18421.6361893497,2.31326690435492,-5.3767911420476,4.06352423769267
